Ciudad,Comentario,Categoría del problema,Categoria_Numerica,Nuevo Nivel de Urgencia,Fecha del reporte
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 08 11
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 04 12
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 06 09
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 06 04
manizales,no hay suficientes escuelas publicas,Educación,2,4,2024 07 10
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 09 18
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 07 20
bogota,no hay suficientes escuelas publicas,Educación,2,3,2023 04 23
medellin,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 09 01
cali,faltan medicos en el centro de salud,Salud,1,1,2024 09 21
bogota,falta agua potable en varias casas,Salud,1,3,2024 04 02
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 03 14
medellin,falta agua potable en varias casas,Salud,1,4,2023 11 08
bogota,no hay suficientes escuelas publicas,Educación,2,2,2023 08 19
manizales,falta agua potable en varias casas,Salud,1,3,2024 08 16
manizales,faltan medicos en el centro de salud,Salud,1,3,2023 09 01
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 03 15
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 12 21
medellin,queremos mas presencia policial,Seguridad,3,4,2024 06 18
cali,faltan medicos en el centro de salud,Salud,1,4,2024 07 21
barranquilla,queremos mas presencia policial,Seguridad,3,3,2024 04 13
pereira,falta agua potable en varias casas,Salud,1,3,2024 09 20
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 05 20
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 04 22
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 01 11
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 04 11
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 08 03
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 06 29
cucuta,falta agua potable en varias casas,Salud,1,4,2023 10 17
medellin,queremos mas presencia policial,Seguridad,3,4,2024 11 24
barranquilla,falta agua potable en varias casas,Salud,1,3,2023 02 06
santa marta,no hay suficientes escuelas publicas,Educación,2,3,2024 11 23
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 09 06
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 03 04
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 09 12
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 09 23
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 05 04
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 10 20
manizales,falta agua potable en varias casas,Salud,1,2,2023 08 10
santa marta,queremos mas presencia policial,Seguridad,3,3,2024 06 16
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 08 26
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 09 13
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 03 22
pereira,queremos mas presencia policial,Seguridad,3,2,2023 10 31
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 07 28
