ID;Nombre;Edad;Género;Ciudad;Comentario;Categoría del problema;Nivel de urgencia;Fecha del reporte;Acceso a internet;Atención previa del gobierno;Zona rural
1;Jorge;230;Otro;Manizales;las calles están muy oscuras y peligrosas.;Salud;Urgente;11/08/2023;0;1;0
2;Camilo;400;Otro;Santa Marta;no tenemos centros culturales ni bibliotecas.;Medio Ambiente;No urgente;12/04/2023;1;1;1
3;Pedro;350;Otro;Medellín;las basuras no se recogen a tiempo.;Medio Ambiente;No urgente;09/06/2023;1;1;0
4;Ana;;F;Bogotá;la contaminación del río está aumentando.;Seguridad;No urgente;04/06/2023;0;1;1
5;Jorge;620;M;Manizales;no hay suficientes escuelas públicas.;Seguridad;Urgente;10/07/2024;1;0;1
6;María;290;M;Cartagena;hay problemas con la recolección de basura.;Seguridad;No urgente;18/09/2023;0;1;0
7;Ana;;M;Medellín;la contaminación del río está aumentando.;Salud;No urgente;20/07/2023;0;1;0
8;Jorge;380;F;Bogotá;no hay suficientes escuelas públicas.;Educación;Urgente;23/04/2023;0;1;0
9;Carlos;570;M;Medellín;necesitamos más acceso a internet en la zona.;Medio Ambiente;No urgente;01/09/2023;1;1;1
10;María;760;F;Cali;faltan médicos en el centro de salud.;Salud;No urgente;21/09/2024;0;1;1
11;Pedro;460;Otro;Bogotá;falta agua potable en varias casas.;Educación;Urgente;02/04/2024;0;1;0
12;Ana;670;M;Manizales;la contaminación del río está aumentando.;Seguridad;Urgente;14/03/2023;1;1;1
13;Laura;460;Otro;Medellín;falta agua potable en varias casas.;Salud;Urgente;08/11/2023;1;0;0
14;Sofía;720;F;Bogotá;no hay suficientes escuelas públicas.;Educación;No urgente;19/08/2023;1;0;0
15;Laura;670;F;Manizales;falta agua potable en varias casas.;Educación;Urgente;16/08/2024;1;1;1
16;Camilo;770;Otro;Manizales;faltan médicos en el centro de salud.;Salud;Urgente;01/09/2023;0;1;1
17;Valentina;220;F;Santa Marta;necesitamos más acceso a internet en la zona.;Salud;No urgente;15/03/2024;1;1;1
18;Juan;710;Otro;Barranquilla;la contaminación del río está aumentando.;Salud;No urgente;21/12/2023;0;1;0
19;Sofía;;F;Manizales;;Educación;Urgente;02/11/2023;1;0;1
20;Juan;520;M;Medellín;queremos más presencia policial.;Salud;Urgente;18/06/2024;0;0;1
21;Jorge;590;M;Cali;faltan médicos en el centro de salud.;Salud;Urgente;21/07/2024;0;0;1
22;Laura;650;M;Barranquilla;queremos más presencia policial.;Medio Ambiente;Urgente;13/04/2024;0;1;0
23;Jorge;510;Otro;Pereira;falta agua potable en varias casas.;Medio Ambiente;Urgente;20/09/2024;0;1;0
24;Laura;640;F;Barranquilla;las basuras no se recogen a tiempo.;Seguridad;No urgente;20/05/2024;0;1;0
25;Carlos;280;F;Manizales;no tenemos centros culturales ni bibliotecas.;Educación;No urgente;22/04/2023;1;1;1
26;Sofía;690;F;Cúcuta;necesitamos más acceso a internet en la zona.;Seguridad;Urgente;11/01/2024;0;1;1
27;Ana;240;F;Bucaramanga;las basuras no se recogen a tiempo.;Medio Ambiente;No urgente;11/04/2024;0;1;0
28;Sofía;630;Otro;Pereira;la contaminación del río está aumentando.;Medio Ambiente;No urgente;03/08/2024;0;1;1
29;Carlos;460;F;Cali;hay problemas con la recolección de basura.;Educación;Urgente;29/06/2024;1;1;1
30;Pedro;340;F;Cúcuta;falta agua potable en varias casas.;Seguridad;Urgente;17/10/2023;0;0;0
31;Ana;470;M;Medellín;queremos más presencia policial.;Salud;Urgente;24/11/2024;1;0;1
32;María;800;M;Barranquilla;falta agua potable en varias casas.;Medio Ambiente;Urgente;06/02/2023;0;1;1
33;Pedro;770;Otro;Santa Marta;no hay suficientes escuelas públicas.;Medio Ambiente;Urgente;23/11/2024;1;1;1
34;María;780;M;Barranquilla;las basuras no se recogen a tiempo.;Seguridad;Urgente;06/09/2024;1;0;1
35;Pedro;540;F;Santa Marta;necesitamos más acceso a internet en la zona.;Seguridad;Urgente;04/03/2023;1;0;1
36;Pedro;530;Otro;Bogotá;las basuras no se recogen a tiempo.;Educación;No urgente;12/09/2023;1;1;0
37;Carlos;180;M;Manizales;hay problemas con la recolección de basura.;Medio Ambiente;No urgente;23/09/2024;0;0;0
38;Juan;610;Otro;Barranquilla;las calles están muy oscuras y peligrosas.;Seguridad;Urgente;04/05/2024;0;0;1
39;Sofía;330;F;Santa Marta;hay problemas con la recolección de basura.;Medio Ambiente;No urgente;20/10/2024;0;1;0
40;Valentina;180;M;Manizales;falta agua potable en varias casas.;Educación;No urgente;10/08/2023;0;0;0
41;Valentina;;F;Santa Marta;queremos más presencia policial.;Medio Ambiente;Urgente;16/06/2024;0;1;1
42;Ana;190;Otro;Cúcuta;las calles están muy oscuras y peligrosas.;Salud;No urgente;26/08/2024;0;0;1
43;María;500;Otro;Cali;hay problemas con la recolección de basura.;Medio Ambiente;No urgente;13/09/2024;1;0;0
44;Laura;600;;Medellín;las basuras no se recogen a tiempo.;Educación;No urgente;22/03/2023;0;0;1
45;Carlos;290;F;Pereira;queremos más presencia policial.;Educación;No urgente;31/10/2023;0;0;0
46;Jorge;590;Otro;Bucaramanga;hay problemas con la recolección de basura.;Educación;No urgente;28/07/2023;1;0;0
47;Camilo;190;M;Bogotá;queremos más presencia policial.;Medio Ambiente;No urgente;27/08/2023;0;0;0
48;Pedro;480;Otro;Manizales;faltan médicos en el centro de salud.;Salud;No urgente;13/07/2024;1;1;1
49;Laura;320;M;Cúcuta;las basuras no se recogen a tiempo.;Salud;Urgente;26/04/2024;0;0;0
50;Juan;480;Otro;Medellín;necesitamos más acceso a internet en la zona.;Seguridad;No urgente;02/08/2024;1;1;1
51;Ana;660;M;Bogotá;las calles están muy oscuras y peligrosas.;Salud;No urgente;22/02/2023;1;1;1
52;Jorge;240;Otro;Cartagena;las calles están muy oscuras y peligrosas.;Seguridad;No urgente;09/02/2023;0;1;1
53;Pedro;530;M;Cartagena;la contaminación del río está aumentando.;Seguridad;Urgente;07/10/2024;1;1;0
54;María;590;Otro;Cartagena;no tenemos centros culturales ni bibliotecas.;Educación;No urgente;22/04/2023;0;1;0
55;Sofía;420;F;Bogotá;necesitamos más acceso a internet en la zona.;Salud;Urgente;12/08/2024;1;0;0
56;Camilo;580;M;Cúcuta;queremos más presencia policial.;Medio Ambiente;Urgente;12/06/2024;1;1;0
57;Jorge;530;F;Pereira;necesitamos más acceso a internet en la zona.;Salud;Urgente;03/12/2023;1;1;0
58;Valentina;310;M;Bucaramanga;no hay suficientes escuelas públicas.;Seguridad;Urgente;24/10/2023;1;1;0
59;Valentina;240;F;Bogotá;faltan médicos en el centro de salud.;Seguridad;No urgente;13/11/2024;1;1;0
60;Sofía;310;Otro;Cúcuta;queremos más presencia policial.;Medio Ambiente;Urgente;22/04/2023;1;1;1
61;Pedro;420;Otro;Medellín;necesitamos más acceso a internet en la zona.;Salud;No urgente;24/10/2023;0;1;0
62;Valentina;230;M;Cartagena;las basuras no se recogen a tiempo.;Salud;No urgente;28/08/2024;1;0;0
63;Laura;230;;Pereira;queremos más presencia policial.;Seguridad;Urgente;23/05/2023;1;0;1
64;Jorge;700;M;Santa Marta;hay problemas con la recolección de basura.;Medio Ambiente;No urgente;22/04/2023;0;1;0
